Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.227,0.416,0.341,0.181,0.008959741371471801,0.054488185284069776,0.001998002662673058,0.506,0.021,3.58,0.767,0.874,4.14,0.996,0.0088099999999999,0.917,1.0,3.6,0.687,6.1882641230825906
0.244,0.357,0.212,0.262,0.0,0.02955880224154443,0.008959741371471801,0.428,0.006,3.565,0.779,0.796,4.02,0.987,0.00832,0.99,1.0,4.31,0.777,6.137727054086234
0.215,0.361,0.327,0.234,0.020292703267762394,0.03825871211709027,0.001998002662673058,0.432,0.018,3.27,0.549,0.703,3.8,0.99,0.00755,0.99,1.0,4.28,0.739,6.091309882077698
0.033,0.366,0.3419999999999999,0.197,0.0,0.03052920503482279,0.001998002662673058,0.438,0.019,3.36,0.663,0.705,3.94,1.0,0.00847,0.801,1.0,3.82,0.652,6.182084906716632
0.154,0.298,0.266,0.152,0.007968169649176881,0.023716526617316065,0.001998002662673058,0.369,0.006,3.765,0.867,0.872,4.22,0.9965,0.00907,1.0,1.0,4.33,0.808,6.295266001439646
0.081,0.412,0.207,0.156,0.0,0.054488185284069776,0.005982071677547469,0.49,0.017,3.635,0.86,0.842,4.04,0.9855,0.00877,0.993,1.0,3.0,0.665,6.501289670540388
0.655,0.784,0.855,0.28,0.16720791898390638,0.09531017980432495,0.0620353909194527,0.84,0.079,2.475,0.011,0.493,3.13,0.8475,0.00663,0.703,0.0,3.27,0.611,5.799092654460527
0.286,0.717,0.6990000000000001,0.158,0.012175575930133544,0.0769610411361284,0.017839918128331016,0.791,0.049,3.09,0.314,0.739,3.39,0.9595,0.00813,0.891,1.0,3.42,0.699,7.371489295214277
0.528,0.65,0.696,0.303,0.08204071033620941,0.10975086395911929,0.04974209189481401,0.717,0.036,2.605,0.176,0.451,3.42,0.8565,0.00687,0.494,1.0,3.01,0.43,5.627621113690637
0.581,0.733,0.845,0.137,0.026641930946421092,0.128393214768399,0.03922071315328133,0.826,0.058,2.79,0.107,0.478,3.68,0.861,0.00732,0.893,0.0,2.47,0.664,5.627621113690637
0.621,0.722,0.951,0.065,0.06391332574365285,0.3756929497744942,0.19721016928770524,0.0,0.714,2.085,0.077,0.177,3.86,0.759,0.00686,0.519,0.0,4.39,0.294,5.517452896464708
0.633,0.709,0.738,0.198,0.07557118684707403,0.0962188577405429,0.03343477608623742,0.777,0.034,2.9000000000000004,0.106,0.453,3.85,0.8614999999999999,0.00794,0.277,0.0,4.83,0.511,5.472270673671475
0.558,0.696,0.8679999999999999,0.211,0.04926624130291805,0.10885440491208206,0.06391332574365285,0.796,0.053,2.74,0.117,0.385,2.84,0.9015,0.00701,0.643,1.0,3.4736402569593148,0.595,5.429345628954441
0.512,0.574,0.865,0.024,0.071389996086673,0.34074879338847325,0.2554171118645054,0.0,0.932,2.035,0.049,0.277,3.63,0.865,0.00604,0.284,0.0,3.53,0.453,5.831882477283517
0.198,0.505,0.714,0.209,0.007968169649176881,0.07603468627599758,0.02273948696948934,0.63,0.028,3.355,0.521,0.798,4.18,0.996,0.00832,0.946,1.0,4.57,0.705,6.066108090103747
