,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
10,02M282,urban assembly maker academy,0.335,0.663,0.002,0.048,0.234,0.737,0.661,0.413,0.192,0.505,0.0,0.632,2.2,0.696,0.421,0.974,0.00732,0.951,0.588,3.14,3.49,3.53,3.38,3.22,3.63,0.77,1.0,0.31,10038.0,0.099,0.608,0.376,0.09,0.265,0.872,0.176,0.947,0.772,0.208,2,Manhattan,0.213,2.9,0.0,0.0,0.0,0.0,Medium,0.04018178963283176,0.10975086395911929,0.024692612590371414,6.26530121273771,2.0149030205422647,11.509339041434808
11,02M288,food and finance high school,0.593,0.407,0.0,0.044,0.255,0.804,0.731,0.344,0.627,0.292,0.0,0.75,2.1,0.781,0.43,0.953,0.00718,0.841,0.383,2.8,2.18,2.98,2.75,2.9,2.7,0.65,0.84,0.28,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.881,0.914,0.0849999999999999,2,Manhattan,0.091,2.735,0.0,0.0,0.0,0.0,Medium,0.02955880224154443,0.11955923505763925,0.04305948946044701,6.070737728002491,2.028148247292285,11.638112137059187
12,02M294,essex street academy,0.578,0.422,0.0,0.02,0.275,0.619,0.541,0.567,0.0,0.456,0.017,0.479,7.8,0.867,0.482,0.95,0.00796,0.933,0.66,4.4,4.43,3.92,4.52,4.06,4.18,0.84,1.0,0.45,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.9695,0.669,0.298,2,Manhattan,0.133,2.77,0.0,0.0,1.0,0.0,High,0.025180298530298326,0.06578774053800315,0.03343477608623742,5.869296913133774,1.6863989535702286,10.677361821912017
13,02M296,high school of hospitality management,0.7,0.3,0.0,0.086,0.224,0.884,0.852,0.65,0.219,0.243,0.0,0.348,11.0,1.0,0.739,0.974,0.00793,0.228,0.349,2.39,2.86,3.27,2.66,2.26,3.47,0.46,0.71,0.15,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.8195,0.933,0.058,2,Manhattan,0.018,2.56,0.0,0.0,0.0,0.0,Medium,0.09735354525590992,0.12486898204586927,0.06485097231961626,5.351858133476067,2.0014800002101243,11.638112137059187
14,02M298,pace high school,0.542,0.458,0.0,0.055,0.204,0.778,0.685,0.467,0.228,0.63,0.053,0.67,7.9,0.8,0.627,0.958,0.00769,0.748,0.54,3.8,3.74,3.57,3.49,3.72,3.57,0.43,0.9,0.07,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.859,0.806,0.174,2,Manhattan,0.158,2.775,0.0,0.0,0.0,1.0,Medium,0.04974209189481401,0.08342160813907237,0.02273948696948934,6.274762021241939,2.0014800002101243,10.677361821912017
15,02M300,"urban assembly school of design and construction, the",0.338,0.662,0.0,0.053,0.267,0.813,0.747,0.231,0.28,0.489,0.0,0.604,0.2,0.808,0.537,0.967,0.0077,0.525,0.351,2.76,3.54,3.62,3.35,3.67,4.09,0.69,0.81,0.09,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.8069999999999999,0.915,0.08,2,Manhattan,0.082,2.65,0.0,0.0,0.0,0.0,Medium,0.10255658832509215,0.15614868248993138,0.051643233151838386,5.420534999272286,1.9459101490553132,11.638112137059187
16,02M303,"facing history school, the",0.485,0.515,0.0,0.1,0.291,0.884,0.828,0.484,0.146,0.395,0.094,0.68,12.1,0.807,0.646,0.962,0.00659,0.584,0.313,3.96,4.69,3.64,4.15,3.82,4.07,0.68,1.0,0.24,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.8685,0.949,0.039,2,Manhattan,0.0,2.415,0.0,0.0,1.0,0.0,Low,0.03246719013750141,0.13889199886661863,0.06297479916138839,5.736572297479191,1.856297990365626,11.638112137059187
17,02M305,"urban assembly academy of government and law, the",0.607,0.39,0.003,0.048,0.19,0.863,0.814,0.625,0.524,0.383,0.0,0.621,2.0,0.792,0.563,0.969,0.0072299999999999,0.401,0.533,3.67,4.33,3.88,4.41,4.32,4.13,0.92,0.96,0.41,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.892,0.869,0.131,2,Manhattan,0.07,2.715,0.0,0.0,0.0,0.0,Medium,0.006975613736425138,0.14149956227369942,0.04018178963283176,5.673323267171493,2.0014800002101243,10.677361821912017
18,02M308,lower manhattan arts academy,0.649,0.351,0.0,0.06,0.282,0.872,0.794,0.615,0.301,0.373,0.0,0.566,0.9,0.731,0.616,0.954,0.00703,0.851,0.276,3.52,3.22,3.39,3.53,2.79,2.91,0.62,0.75,0.16,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.8465,0.8859999999999999,0.11,2,Manhattan,0.034,2.53,0.0,0.0,0.0,0.0,Low,0.11198850194804728,0.1527210870176639,0.06109509935981083,5.758901773877281,1.8870696490323797,10.677361821912017
19,02M316,"urban assembly school of business for young women, the",1.0,0.0,0.0,0.12,0.193,0.844,0.783,0.778,0.518,0.373,0.0,0.687,18.2,0.889,0.728,0.966,0.00734,0.241,0.514,3.09,3.8,3.7,4.08,4.5,4.93,0.64,1.0,0.26,10004.0,0.004,0.945,0.228,0.023,0.204,0.994,0.0,0.867,0.8919999999999999,0.096,2,Manhattan,0.037,2.665,0.0,0.0,0.0,0.0,Medium,0.044973365642731196,0.13540463700620298,0.09166718852582388,4.430816798843313,2.341805806147327,12.356834733416362
20,02M374,gramercy arts high school,0.689,0.309,0.002,0.026,0.171,0.739,0.659,0.514,0.419,0.366,0.0,0.64,4.2,0.622,0.531,0.968,0.00739,0.99,0.568,3.04,3.03,3.09,2.98,3.1,2.95,0.66,0.77,0.13,10003.0,0.027,0.82,0.2189999999999999,0.067,0.193,0.94,0.036,0.9665,0.827,0.151,2,Manhattan,0.133,2.95,0.0,0.0,0.0,1.0,Medium,0.02078253918252841,0.11511280710050446,0.03246719013750141,6.2324480165505225,2.028148247292285,11.93730391618969
21,02M376,nyc ischool,0.58,0.42,0.0,0.024,0.248,0.528,0.454,0.568,0.274,0.732,0.066,0.785,1.2,0.811,0.263,0.954,0.00857,0.709,0.802,4.41,4.54,4.31,4.43,3.83,4.52,0.9,0.97,0.56,10013.0,0.059,0.705,0.341,0.0819999999999999,0.31,0.892,0.122,0.9865,0.506,0.4579999999999999,2,Manhattan,0.509,3.44,0.0,0.0,0.0,1.0,High,0.007968169649176881,0.04305948946044701,0.003992021269537457,6.115892125483034,1.8405496333974871,11.922887115130283
22,02M392,manhattan business academy,0.467,0.533,0.0,0.089,0.231,0.88,0.829,0.563,0.094,0.244,0.068,0.365,14.2,0.813,0.509,0.961,0.00745,0.393,0.447,4.88,4.83,4.1,4.48,3.51,4.25,0.73,1.0,0.14,10011.0,0.019,0.789,0.198,0.099,0.203,0.944,0.05,0.9305,0.903,0.095,2,Manhattan,0.071,2.705,0.0,0.0,0.0,0.0,Medium,0.06625579577706506,0.12575120530556025,0.04879016416943205,5.945420608606575,2.066862759472976,11.890916596077638
23,02M393,business of sports school,0.283,0.717,0.0,0.101,0.253,0.883,0.825,0.324,0.281,0.491,0.0,0.647,14.2,0.946,0.675,0.947,0.00707,0.907,0.337,3.5,3.64,3.13,3.63,3.22,3.63,0.8,0.81,0.25,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.8985000000000001,0.947,0.039,2,Manhattan,0.07,2.38,0.0,0.0,0.0,0.0,Low,0.03729578474369693,0.1629688282781397,0.04688358589885046,6.075346031088684,1.8405496333974871,11.638112137059187
24,02M399,the high school for language and diplomacy,0.53,0.47,0.0,0.079,0.212,0.81,0.722,0.533,0.338,0.411,0.0,0.603,1.1,0.933,0.646,0.94,0.0073,0.323,0.477,2.51,3.36,3.2,3.33,3.47,3.67,0.63,0.93,0.11,10003.0,0.027,0.82,0.2189999999999999,0.067,0.193,0.94,0.036,0.832,0.821,0.172,2,Manhattan,0.092,2.755,0.0,0.0,0.0,0.0,Medium,0.0358496528936972,0.11867152971749854,0.0944006754214843,5.0238805208462765,1.8718021769015913,11.93730391618969
25,02M400,high school for environmental studies,0.527,0.47,0.003,0.049,0.17,0.725,0.659,0.542,0.35,0.419,0.08,0.617,2.2,0.861,0.439,0.959,0.0078599999999999,0.713,0.583,3.73,3.71,3.3,4.43,3.25,3.35,0.68,0.61,0.16,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.9155,0.7,0.278,2,Manhattan,0.192,3.0250000000000004,1.0,0.0,0.0,1.0,Medium,0.008959741371471801,0.08065790301745454,0.01980262729617973,6.98100574072173,1.9315214116032138,11.638112137059187
