,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
135,09X231,eagle academy for young men,0.0,1.0,0.0,0.045,0.318,0.843,0.758,0.216,0.121,0.339,0.01,0.426,8.0,0.811,0.21,0.957,0.0068099999999999,0.649,0.324,2.83,3.64,3.68,3.41,3.26,3.48,0.64,0.54,0.1,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.8995,0.975,0.014,9,Bronx,0.075,2.49,0.0,0.0,0.0,0.0,Low,0.07417939817425147,0.1292723357041391,0.05354076692802976,5.66988092298052,0.9162907318741551,10.624881996034176
136,09X241,"urban assembly school for applied math and science, the",0.464,0.536,0.0,0.117,0.297,0.921,0.863,0.338,0.306,0.706,0.0,0.88,5.1,0.646,0.697,0.946,0.00592,0.604,0.477,2.95,3.16,3.04,3.59,3.55,3.61,0.71,0.97,0.4,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.9035,0.983,0.015,9,Bronx,0.085,2.49,0.0,0.0,0.0,0.0,Medium,0.025667746748577813,0.14410034397375687,0.011928570865273812,5.840641657373398,0.5877866649021191,10.624881996034176
137,09X250,eximius college preparatory academy: a college board school,0.505,0.492,0.003,0.095,0.231,0.927,0.853,0.464,0.245,0.283,0.003,0.424,12.0,0.786,0.376,0.948,0.0076099999999999,0.462,0.41,3.83,4.62,4.09,4.33,2.97,3.86,0.54,0.71,0.39,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.935,0.951,0.048,9,Bronx,0.051,2.65,0.0,0.0,0.0,0.0,Medium,0.04401688541677426,0.1629688282781397,0.055434706888100524,5.910796644040528,0.6418538861723947,10.413853070469662
138,09X252,mott hall bronx high school,0.479,0.521,0.0,0.153,0.238,0.946,0.888,0.419,0.0,0.385,0.0,0.591,11.9,0.71,0.576,0.949,0.00745,0.875,0.465,3.55,3.19,3.7,3.62,3.54,3.24,0.48,0.93,0.19,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.911,0.964,0.03,9,Bronx,0.069,2.5700000000000003,0.0,1.0,0.0,0.0,Medium,0.08801087732271339,0.14496577025018564,0.054488185284069776,5.831882477283517,0.6418538861723947,10.624881996034176
139,09X260,bronx center for science and mathematics,0.43,0.57,0.0,0.08,0.222,0.877,0.784,0.4,0.229,0.454,0.0,0.541,2.4,0.733,0.439,0.956,0.0077599999999999,0.777,0.691,3.81,3.18,3.31,3.22,2.94,3.61,0.69,1.0,0.44,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.965,0.897,0.1,9,Bronx,0.196,2.93,0.0,0.0,0.0,0.0,High,0.05401458830623835,0.11422114409002285,0.02078253918252841,5.963579343618447,0.832909122935104,10.413853070469662
140,09X263,validus preparatory academy,0.44,0.56,0.0,0.123,0.298,0.0,0.921,0.292,0.147,0.575,0.0,0.619,0.2,0.958,0.566,0.953,0.0067599999999999,0.214,0.225,2.62,2.36,3.27,2.84,3.53,3.04,0.45,0.65,0.41,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.7605,0.984,0.008,9,Bronx,0.014,2.395,0.0,0.0,0.0,0.0,Low,0.08801087732271339,0.15785808461558032,0.058268908123975824,5.53338948872752,0.5877866649021191,10.624881996034176
141,09X297,morris academy for collaborative studies,0.494,0.503,0.002,0.08,0.291,0.942,0.892,0.395,0.208,0.311,0.08,0.444,1.0,0.79,0.56,0.961,0.00709,0.529,0.463,3.99,4.46,3.61,4.28,3.47,3.81,0.83,0.92,0.19,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.899,0.979,0.018,9,Bronx,0.038,2.59,0.0,0.0,0.0,0.0,Medium,0.04545126290391736,0.15614868248993138,0.051643233151838386,6.082218910376446,0.9162907318741551,10.413853070469662
142,09X324,bronx early college academy for teaching & learning,0.479,0.521,0.0,0.064,0.225,0.92,0.871,0.419,0.0,0.254,0.0,0.521,12.1,0.71,0.401,0.975,0.00679,0.795,0.545,3.89,3.95,3.8,3.36,3.91,3.75,0.94,0.93,0.37,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.9685,0.962,0.038,9,Bronx,0.096,2.725,0.0,1.0,0.0,0.0,Medium,0.013902905168991214,0.151862349309246,0.005982071677547469,5.7430031878094825,0.5877866649021191,10.413853070469662
143,09X327,comprehensive model school project m.s. 327,0.459,0.541,0.0,0.059,0.246,0.92,0.862,0.281,0.203,0.522,0.0,0.592,9.1,0.825,0.427,0.961,0.00692,0.583,0.514,3.68,4.26,3.5770989010989007,4.08,3.87,4.13,0.27,0.6,0.16,10452.0,0.161,0.144,0.6990000000000001,0.161,0.379,0.7959999999999999,0.473,0.891,0.992,0.006,9,Bronx,0.208,2.92,0.0,0.0,0.0,0.0,Medium,0.06297479916138839,0.14583044821153954,0.010939940038334263,5.916202062607436,0.4054651081081644,10.50608072475522
144,09X329,dreamyard preparatory school,0.489,0.511,0.0,0.172,0.287,0.0,0.931,0.269,0.254,0.366,0.0,0.42,1.2,0.539,0.456,0.953,0.00692,0.557,0.32,3.66,4.21,3.84,3.8,4.2,3.83,0.65,1.0,0.52,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.917,0.979,0.0209999999999999,9,Bronx,0.071,2.435,0.0,0.0,0.0,0.0,Low,0.04353830201448341,0.19967019512856768,0.06109509935981083,5.805134968916488,0.6418538861723947,10.624881996034176
145,09X365,academy for language and technology,0.472,0.528,0.0,0.761,0.051,0.0,0.761,0.391,0.443,0.27,0.0,0.713,9.9,0.696,0.395,0.969,0.00692,0.981,0.359,4.88,4.67,4.44,4.43,4.66,4.57,0.93,1.0,0.94,10453.0,0.172,0.149,0.6779999999999999,0.156,0.415,0.847,0.487,0.9875,0.997,0.0,9,Bronx,0.0,2.005,0.0,0.0,0.0,0.0,Medium,0.005982071677547469,0.44468582126144574,0.09257918129309317,5.8664680569332965,0.7419373447293773,10.457401400981889
146,09X403,bronx international high school,0.523,0.477,0.0,0.918,0.029,0.0,0.743,0.385,0.07,0.424,0.146,0.439,17.2,0.962,0.583,0.941,0.00502,0.659,0.296,3.52,3.73,3.5770989010989007,3.05,3.7,3.1,0.22,0.68,0.07,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.9165,0.944,0.048,9,Bronx,0.0,1.91,0.0,0.0,0.0,0.0,Low,0.028587456851912472,0.2791457414294946,0.10795714150509236,5.83773044716594,0.7419373447293773,10.413853070469662
147,09X404,school for excellence,0.39,0.61,0.0,0.13,0.39,0.949,0.87,0.4305543710021322,0.04,0.49,0.0,0.49,0.4,0.625,0.509,0.937,0.00617,0.026,0.271,1.89,1.52,2.78,1.68,2.05,2.02,0.55,1.0,0.93,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.5795,0.93,0.07,9,Bronx,0.0,2.12,0.0,0.0,0.0,0.0,Low,0.24098346944254073,0.22314355131420976,0.09531017980432495,4.61512051684126,0.7419373447293773,10.413853070469662
148,09X412,bronx high school of business,0.408,0.592,0.0,0.23,0.266,0.949,0.879,0.333,0.167,0.259,0.069,0.348,6.9,0.833,0.524,0.945,0.00482,0.322,0.27,2.99,3.36,3.19,3.51,3.08,2.85,0.85,0.97,0.15,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.8029999999999999,0.964,0.033,9,Bronx,0.014,2.325,0.0,0.0,0.0,0.0,Low,0.11377501425884468,0.23031775506221003,0.12575120530556025,5.723585101952381,0.6418538861723947,10.624881996034176
149,09X413,bronx high school for medical science,0.528,0.472,0.0,0.11,0.312,0.911,0.851,0.357,0.128,0.457,0.021,0.585,1.8,0.762,0.334,0.962,0.00674,0.961,0.643,2.63,3.33,3.22,3.65,3.34,3.48,0.96,0.77,0.19,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.9125,0.919,0.082,9,Bronx,0.156,2.85,0.0,0.0,0.0,0.0,Medium,0.017839918128331016,0.126632650933366,0.017839918128331016,5.645446897643238,0.6418538861723947,10.624881996034176
150,09X505,"bronx school for law, government and justice",0.529,0.471,0.0,0.099,0.245,0.907,0.831,0.439,0.651,0.209,0.085,0.653,8.1,0.737,0.412,0.961,0.00612,0.663,0.504,2.57,3.19,3.15,3.25,2.9,3.42,0.63,0.64,0.14,10451.0,0.122,0.1969999999999999,0.552,0.2,0.271,0.81,0.416,0.873,0.976,0.02,9,Bronx,0.025,2.7,0.0,0.0,0.0,0.0,Medium,0.06812582904760044,0.126632650933366,0.045928931888399735,6.161207321695076,0.5306282510621704,10.443396137193783
151,09X517,frederick douglass academy iii secondary school,0.534,0.466,0.0,0.163,0.285,0.939,0.873,0.208,0.172,0.407,0.0,0.538,7.9,0.917,0.587,0.948,0.00707,0.306,0.186,3.92,3.47,3.52,3.6,3.94,4.16,0.87,1.0,0.33,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.8365,0.991,0.009,9,Bronx,0.0,2.275,0.0,0.0,0.0,0.0,Low,0.0912108800533841,0.17395330712343798,0.06109509935981083,5.402677381872279,0.6931471805599453,10.413853070469662
152,09X525,bronx leadership academy high school,0.492,0.508,0.0,0.133,0.39,0.0,0.906,0.4305543710021322,0.698,0.483,0.0,0.967,2.0,0.893,0.535,0.949,0.00511,0.947,0.266,3.26,3.34,3.09,3.48,3.1,2.3,0.71,0.59,0.23,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.8660000000000001,0.967,0.03,9,Bronx,0.0,2.15,0.0,0.0,0.0,0.0,Low,0.05401458830623835,0.2070141693843261,0.08157998699242285,5.805134968916488,0.6418538861723947,10.624881996034176
153,09X543,high school for violin and dance,0.705,0.295,0.0,0.194,0.341,0.0,0.907,0.4305543710021322,0.326,0.442,0.0,0.589,12.6,0.733,0.294,0.966,0.00633,0.583,0.2,2.84,2.95,3.43,3.25,2.42,3.02,0.8,1.0,0.54,10456.0,0.166,0.127,0.602,0.193,0.298,0.7829999999999999,0.498,0.7535000000000001,0.984,0.016,9,Bronx,0.0,2.28,0.0,0.0,0.0,0.0,Low,0.126632650933366,0.25851069515150105,0.06765864847381486,4.867534450455582,0.8754687373538999,10.413853070469662
154,09X564,claremont international hs,0.473,0.527,0.0,0.929,0.086,0.0,0.751,0.6,0.145,0.459,0.086,0.609,11.2,0.84,0.459,0.963,0.0051,0.589,0.349,4.48,4.72,3.96,4.09,4.08,4.2,0.58,0.56,0.53,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.911,0.944,0.0419999999999999,9,Bronx,0.014,1.805,0.0,0.0,0.0,0.0,Medium,0.04783732941416006,0.33789978861239844,0.23586232372198446,5.82600010738045,0.5877866649021191,10.624881996034176
155,09X568,young women's leadership school of the bronx,1.0,0.0,0.0,0.047,0.2,0.862,0.794,0.422,0.372,0.488,0.0,0.578,4.2,0.822,0.405,0.944,0.0073,0.473,0.79,3.87,4.09,3.42,4.21,3.41,3.76,0.75,0.88,0.75,10453.0,0.172,0.149,0.6779999999999999,0.156,0.415,0.847,0.487,0.9475,0.922,0.069,9,Bronx,0.08,2.8200000000000003,0.0,0.0,0.0,0.0,High,0.0,0.10345870836822997,0.02176149178151271,5.771441123130016,0.6931471805599453,10.457401400981889
156,10X141,riverdale / kingsbridge academy (middle school / high school 141),0.489,0.511,0.0,0.064,0.203,0.558,0.482,0.57,0.247,0.553,0.0,0.651,16.2,0.89,0.214,0.967,0.00795,0.703,0.681,3.43,3.75,3.69,3.51,3.3,3.3,0.73,0.91,0.26,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.9305,0.6749999999999999,0.311,10,Bronx,0.386,2.975,0.0,0.0,0.0,1.0,High,0.07510747248680547,0.06859279146561167,0.002995508979798371,6.539585955617669,0.5306282510621704,11.109173887928804
157,10X213,bronx engineering and technology academy,0.131,0.869,0.0,0.105,0.316,0.902,0.826,0.258,0.179,0.496,0.0,0.584,3.5,0.903,0.581,0.95,0.00659,0.355,0.317,3.34,3.96,3.54,3.92,3.43,4.19,0.51,0.91,0.41,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.8500000000000001,0.897,0.1,10,Bronx,0.093,2.675,0.0,0.0,0.0,0.0,Low,0.07417939817425147,0.14323416808590772,0.055434706888100524,5.863631175598097,1.0296194171811581,11.109173887928804
158,10X225,theatre arts production company school,0.673,0.324,0.003,0.084,0.281,0.909,0.842,0.491,0.18,0.504,0.0,0.564,11.5,0.887,0.661,0.948,0.00638,0.363,0.443,3.4,3.8,3.21,3.64,3.11,3.39,0.91,0.98,0.3,10457.0,0.152,0.151,0.6709999999999999,0.163,0.389,0.812,0.489,0.8305,0.946,0.022,10,Bronx,0.063,2.585,0.0,0.0,0.0,0.0,Medium,0.11243542932978817,0.16974277458709455,0.010939940038334263,5.908082938168931,0.832909122935104,10.624881996034176
159,10X237,"the marie curie school for medicine, nursing, and health professions",0.736,0.264,0.0,0.132,0.225,0.901,0.836,0.68,0.225,0.282,0.0,0.443,5.1,0.92,0.599,0.962,0.0058099999999999,0.273,0.441,3.64,3.18,3.56,2.88,3.23,3.12,0.76,0.81,0.29,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.85,0.954,0.047,10,Bronx,0.018,2.405,0.0,0.0,0.0,1.0,Medium,0.036331929247390204,0.1397619423751586,0.0620353909194527,5.638354669333745,0.9932517730102836,11.109173887928804
160,10X243,west bronx academy for the future,0.534,0.466,0.0,0.173,0.26,0.924,0.863,0.345,0.237,0.483,0.0,0.592,19.2,0.764,0.277,0.951,0.00695,0.846,0.508,2.57,3.11,3.54,3.26,3.41,3.66,0.71,0.89,0.49,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.9925,0.977,0.019,10,Bronx,0.169,2.35,0.0,0.0,0.0,0.0,Medium,0.042101176018635326,0.13540463700620298,0.016857117066422806,5.883322388488279,0.5306282510621704,10.634676867382668
161,10X264,bronx academy for software engineering (base),0.153,0.847,0.0,0.091,0.294,0.889,0.816,0.436,0.148,0.236,0.0,0.327,10.2,0.795,0.598,0.932,0.00713,0.542,0.467,3.17,3.36,3.33,3.52,3.64,3.96,0.6,0.76,0.13,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.903,0.917,0.073,10,Bronx,0.125,2.62,0.0,0.0,0.0,0.0,Medium,0.027615167032973172,0.15614868248993138,0.03052920503482279,5.955837369464831,0.9162907318741551,10.634676867382668
162,10X268,kingsbridge international high school,0.448,0.552,0.0,0.909,0.026,0.0,0.713,0.278,0.0,0.496,0.026,0.496,1.1,1.0,0.479,0.942,0.00444,0.085,0.252,2.37,2.85,2.81,2.8,3.3,3.64,0.95,0.81,0.71,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.657,0.952,0.048,10,Bronx,0.012,1.94,0.0,0.0,0.0,0.0,Low,0.22554067591393118,0.38797979376714486,0.12221763272424911,5.442417710521794,0.6418538861723947,10.691626680451641
163,10X284,bronx school of law and finance,0.531,0.469,0.0,0.128,0.222,0.902,0.863,0.36,0.187,0.434,0.015,0.534,11.2,0.88,0.474,0.953,0.0066099999999999,0.758,0.33,2.76,3.42,3.33,3.81,4.25,3.95,0.72,0.52,0.41,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.8594999999999999,0.947,0.046,10,Bronx,0.022,2.575,0.0,0.0,0.0,0.0,Low,0.11733849241723336,0.16889853646181388,0.04879016416943205,5.840641657373398,1.0296194171811581,11.109173887928804
164,10X342,international school for liberal arts,0.465,0.535,0.0,0.727,0.084,0.0,0.84,0.178,0.215,0.456,0.0,0.602,3.6,0.822,0.48,0.947,0.00463,0.773,0.226,2.88,3.87,3.74,3.72,3.71,3.91,0.95,0.94,0.73,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.8049999999999999,1.0,0.0,10,Bronx,0.0,2.17,0.0,0.0,0.0,0.0,Low,0.1338750835560276,0.32280787442715503,0.06485097231961626,5.843544417031359,0.5877866649021191,10.691626680451641
165,10X351,bronx collaborative high school,0.452,0.548,0.0,0.206,0.287,0.922,0.867,0.564,0.073,0.541,0.0,0.564,10.2,0.872,0.897,0.963,0.00639,0.255,0.403,3.23,2.9,3.5770989010989007,3.42,3.442935982339956,3.45,0.26,0.37,0.02,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.8385,0.8420000000000001,0.059,10,Bronx,0.047,2.375,0.0,0.0,0.0,1.0,Medium,0.08134954569632313,0.1527210870176639,0.07045846364856137,6.07993319509559,0.9555114450274365,10.691626680451641
166,10X353,world view high school,0.468,0.532,0.0,0.272,0.184,0.887,0.798,0.479,0.37,0.651,0.083,0.708,9.5,0.646,0.409,0.968,0.00677,0.97,0.523,3.58,4.0,3.75,4.34,4.08,3.47,0.68,0.69,0.24,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.9775,0.891,0.073,10,Bronx,0.114,2.615,0.0,0.0,0.0,0.0,Medium,0.01439588028373234,0.1773090149704103,0.03343477608623742,6.437751649736402,0.9555114450274365,10.691626680451641
167,10X368,in-tech academy (m.s. / high school 368),0.426,0.574,0.0,0.16,0.219,0.846,0.755,0.32,0.169,0.285,0.032,0.369,2.1,0.88,0.301,0.948,0.00694,0.585,0.477,3.79,2.98,3.82,3.01,3.09,3.0,0.89,0.95,0.32,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.8845000000000001,0.941,0.054,10,Bronx,0.1,2.725,0.0,0.0,0.0,0.0,Medium,0.05638033343610748,0.1484200051182732,0.003992021269537457,6.267200548541362,0.5306282510621704,11.109173887928804
168,10X374,knowledge and power preparatory academy international high school (kappa),0.574,0.426,0.0,0.14,0.234,0.919,0.858,0.469,0.0,0.127,0.012,0.287,2.1,0.563,0.572,0.96,0.00586,0.646,0.545,4.64,4.32,3.85,4.48,3.84,3.72,0.97,0.91,0.9,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.962,0.918,0.08,10,Bronx,0.127,2.675,0.0,1.0,0.0,0.0,Medium,0.0,0.15700374880966467,0.02955880224154443,5.996452088619021,0.8754687373538999,10.634676867382668
169,10X433,high school for teaching and the professions,0.501,0.499,0.0,0.235,0.275,0.919,0.851,0.278,0.213,0.712,0.003,0.773,5.4,0.861,0.252,0.95,0.00621,0.542,0.272,3.62,4.0,4.01,3.89,3.74,4.06,0.62,0.58,0.42,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.9015,0.954,0.0399999999999999,10,Bronx,0.052,2.53,0.0,0.0,0.0,0.0,Low,0.13758566295256314,0.21913552991667104,0.05921185963184603,5.929589143389895,0.6931471805599453,10.691626680451641
170,10X434,belmont preparatory high school,0.531,0.469,0.0,0.09,0.243,0.884,0.831,0.346,0.248,0.251,0.071,0.433,16.2,0.923,0.299,0.953,0.00716,0.621,0.44,3.42,3.45,3.42,3.66,2.67,3.41,0.75,0.67,0.47,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.884,0.929,0.063,10,Bronx,0.207,2.895,0.0,0.0,0.0,0.0,Medium,0.02078253918252841,0.09893994785490366,0.02176149178151271,5.908082938168931,0.7884573603642703,10.634676867382668
171,10X437,fordham high school for the arts,0.692,0.308,0.0,0.036,0.201,0.777,0.674,0.655,0.677,0.26,0.331,0.807,3.1,0.379,0.296,0.957,0.0076,1.0,0.702,4.81,4.48,4.23,4.05,3.39,3.89,1.0,1.0,0.87,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.976,0.923,0.077,10,Bronx,0.19,2.9400000000000004,0.0,0.0,0.0,0.0,High,0.0,0.0944006754214843,0.02273948696948934,5.976350909297934,1.0296194171811581,10.634676867382668
172,10X438,fordham leadership academy,0.54,0.46,0.0,0.108,0.241,0.907,0.853,0.364,0.535,0.475,0.053,0.559,8.2,0.485,0.36,0.958,0.0067599999999999,0.476,0.462,3.31,3.43,3.54,3.65,4.15,3.37,0.73,0.91,0.63,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,1.0,0.952,0.049,10,Bronx,0.075,2.59,0.0,0.0,0.0,0.0,Medium,0.0,0.12044615307586726,0.04688358589885046,6.030685260261263,0.7884573603642703,10.634676867382668
173,10X439,bronx high school for law and community service,0.522,0.478,0.0,0.171,0.299,0.896,0.831,0.441,0.195,0.234,0.0,0.371,13.1,0.882,0.467,0.946,0.0063,0.361,0.56,3.96,4.22,3.56,4.1,3.41,4.1,0.9,0.81,0.14,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.9625,0.943,0.054,10,Bronx,0.203,2.645,0.0,0.0,0.0,0.0,Medium,0.010939940038334263,0.1466943791508034,0.025667746748577813,5.955837369464831,0.8754687373538999,10.634676867382668
174,10X440,dewitt clinton high school,0.465,0.534,0.001,0.086,0.223,0.88,0.812,0.446,0.397,0.344,0.557,0.769,6.6,0.622,0.331,0.967,0.00697,0.937,0.537,2.11,2.63,3.21,3.09,2.76,2.51,0.54,0.83,0.08,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.944,0.859,0.124,10,Bronx,0.086,2.595,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.16211884947643512,0.04879016416943205,6.952728644624869,0.9555114450274365,10.691626680451641
175,10X442,"celia cruz bronx high school of music, the",0.622,0.378,0.0,0.036,0.207,0.796,0.706,0.375,0.359,0.487,0.161,0.706,6.1,0.938,0.195,0.954,0.00717,0.974,0.578,3.69,3.67,3.79,3.56,3.64,3.53,0.75,0.76,0.43,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,1.0,0.949,0.0409999999999999,10,Bronx,0.175,2.885,0.0,0.0,0.0,0.0,Medium,0.004987541511038968,0.10526051065749292,0.023716526617316065,6.030685260261263,1.252762968495368,10.691626680451641
176,10X445,the bronx high school of science,0.462,0.537,0.001,0.0,0.021,0.442,0.366,0.65,0.636,0.599,0.081,0.907,3.0,0.9,0.107,0.965,0.00941,0.997,0.946,4.45,4.44,4.31,4.57,3.33,4.11,0.88,0.7,0.31,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.996,0.133,0.839,10,Bronx,0.963,4.1850000000000005,0.0,0.0,0.0,1.0,High,0.003493889254255617,0.02761516703297339,0.001998002662673058,7.989560449333865,2.2823823856765264,10.691626680451641
177,10X477,marble hill high school for international studies,0.544,0.456,0.0,0.36,0.17,0.908,0.799,0.515,0.329,0.338,0.0,0.468,16.0,0.939,0.35,0.955,0.00717,0.823,0.623,3.1,3.22,3.74,3.16,3.64,4.03,0.83,0.94,0.32,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.9905,0.851,0.146,10,Bronx,0.333,2.765,0.0,0.0,0.0,0.0,Medium,0.008959741371471801,0.18315454309784654,0.03052920503482279,6.035481432524756,0.9932517730102836,11.109173887928804
178,10X524,crotona international high school,0.441,0.559,0.0,0.994,0.039,0.0,0.64,0.292,0.0,0.255,0.156,0.327,8.1,0.542,0.434,0.956,0.00314,0.726,0.165,2.92,3.54,3.03,3.53,4.16,3.25,0.86,0.93,0.9,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.9405,0.967,0.033,10,Bronx,0.0,1.78,0.0,0.0,0.0,0.0,Low,0.027128667388252696,0.3206331725914669,0.2554171118645054,5.8111409929767,0.6931471805599453,10.634676867382668
179,10X546,bronx theatre high school,0.609,0.383,0.007,0.069,0.35,0.929,0.872,0.44,0.274,0.08,0.0,0.343,2.1,0.96,0.523,0.954,0.0066,0.423,0.342,3.26,3.56,3.26,3.82,3.69,3.63,0.64,1.0,0.33,10463.0,0.078,0.425,0.529,0.174,0.302,0.884,0.216,0.934,0.93,0.059,10,Bronx,0.0,2.315,0.0,0.0,0.0,0.0,Medium,0.05448818528406957,0.15529288440603525,0.04974209189481401,5.616771097666572,1.1314021114911006,11.109173887928804
180,10X549,discovery high school,0.401,0.599,0.0,0.186,0.302,0.921,0.861,0.484,0.132,0.297,0.0,0.415,16.2,0.807,0.268,0.953,0.00719,0.944,0.373,4.51,4.46,3.96,4.59,3.09,3.5,0.95,1.0,0.53,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.9315,0.941,0.059,10,Bronx,0.103,2.4000000000000004,0.0,0.0,0.0,0.0,Medium,0.042101176018635326,0.16720791898390638,0.05732506661926935,6.052089168924417,0.6931471805599453,10.691626680451641
181,10X565,high school for energy and technology,0.267,0.733,0.0,0.15,0.294,0.934,0.879,0.152,0.133,0.493,0.0,0.617,7.9,0.636,0.603,0.953,0.00664,0.352,0.25,3.28,3.33,3.02,3.85,4.74,2.65,0.71,1.0,0.65,10458.0,0.184,0.144,0.725,0.1169999999999999,0.422,0.911,0.457,0.9235,0.917,0.077,10,Bronx,0.034,2.35,0.0,0.0,0.0,0.0,Low,0.06765864847381486,0.1510028735365274,0.054488185284069776,6.023447592961033,0.6931471805599453,10.634676867382668
182,10X696,high school of american studies at lehman college,0.57,0.427,0.003,0.0,0.028,0.353,0.261,0.567,0.741,0.525,0.309,0.744,17.1,1.0,0.1,0.963,0.00927,1.0,0.978,4.47,4.18,4.37,3.53,3.12,3.63,0.89,1.0,0.48,10468.0,0.141,0.151,0.794,0.122,0.4629999999999999,0.8759999999999999,0.418,0.989,0.282,0.677,10,Bronx,0.966,4.140000000000001,0.0,0.0,0.0,1.0,High,0.0,0.01980262729617973,0.0,5.988961416889864,1.9459101490553132,10.691626680451641
183,11X249,bronx health sciences high school,0.543,0.457,0.0,0.066,0.18,0.795,0.711,0.593,0.343,0.311,0.0,0.429,2.4,0.667,0.492,0.969,0.00799,0.917,0.783,3.3,4.2,2.79,3.43,1.6,2.09,0.58,1.0,0.28,10475.0,0.0409999999999999,0.257,0.319,0.161,0.231,0.785,0.193,0.9915,0.874,0.117,11,Bronx,0.093,2.73,0.0,0.0,0.0,0.0,High,0.007968169649176881,0.1310282624064042,0.016857117066422806,5.860786223465866,1.0647107369924282,10.950876719793103
