DBN,School Name,Enrollment,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent Overage / Undercredited,Percent in Temp Housing,Percent HRA Eligible,Teacher Percent - White,Nearby Student Distance (mi),Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,dropout_rate,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT
02M282,urban assembly maker academy,525.0,0.335,0.663,0.002,0.048,0.234,0.737,0.025,0.116,0.661,0.413,6.5,0.192,0.505,0.0,0.632,2.2,0.696,0.421,0.974,73.2,0.951,0.588,3.14,3.49,3.53,3.38,3.22,3.63,77.0,100.0,31.0,10038.0,9.9,60.8,37.6,9.0,26.5,87.2,99641.0,17.6,4.1,0.947,0.772,0.20800000000000002,02,Manhattan,0.213,2.9,0.0,0.0,0.0,0.0
02M288,food and finance high school,432.0,0.593,0.407,0.0,0.044,0.255,0.804,0.044,0.127,0.731,0.344,6.6,0.627,0.292,0.0,0.75,2.1,0.781,0.43,0.953,71.8,0.841,0.383,2.8,2.18,2.98,2.75,2.9,2.7,65.0,84.0,28.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,3.0,0.881,0.914,0.08499999999999999,02,Manhattan,0.091,2.735,0.0,0.0,0.0,0.0
02M294,essex street academy,353.0,0.578,0.422,0.0,0.02,0.275,0.619,0.034,0.068,0.541,0.567,4.4,0.0,0.456,0.017,0.479,7.8,0.867,0.482,0.95,79.6,0.933,0.66,4.4,4.43,3.92,4.52,4.06,4.18,84.0,100.0,45.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,2.55,0.9695,0.669,0.29800000000000004,02,Manhattan,0.133,2.77,0.0,0.0,1.0,0.0
02M296,high school of hospitality management,210.0,0.7,0.3,0.0,0.086,0.224,0.884,0.067,0.133,0.852,0.65,6.4,0.219,0.243,0.0,0.348,11.0,1.0,0.739,0.974,79.3,0.228,0.349,2.39,2.86,3.27,2.66,2.26,3.47,46.0,71.0,15.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,10.225,0.8195,0.933,0.058,02,Manhattan,0.018,2.5599999999999996,0.0,0.0,0.0,0.0
02M298,pace high school,530.0,0.542,0.458,0.0,0.055,0.204,0.778,0.023,0.087,0.685,0.467,6.4,0.228,0.63,0.053,0.67,7.9,0.8,0.627,0.958,76.9,0.748,0.54,3.8,3.74,3.57,3.49,3.72,3.57,43.0,90.0,7.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,5.1,0.859,0.806,0.174,02,Manhattan,0.158,2.775,0.0,0.0,0.0,1.0
02M300,"urban assembly school of design and construction, the",225.0,0.338,0.662,0.0,0.053,0.267,0.813,0.053,0.169,0.747,0.231,6.0,0.28,0.489,0.0,0.604,0.2,0.808,0.537,0.967,77.0,0.525,0.351,2.76,3.54,3.62,3.35,3.67,4.09,69.0,81.0,9.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,10.8,0.8069999999999999,0.915,0.08,02,Manhattan,0.082,2.65,0.0,0.0,0.0,0.0
02M303,"facing history school, the",309.0,0.485,0.515,0.0,0.1,0.291,0.884,0.065,0.149,0.828,0.484,5.4,0.146,0.395,0.094,0.68,12.1,0.807,0.646,0.962,65.9,0.584,0.313,3.96,4.69,3.64,4.15,3.82,4.07,68.0,100.0,24.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,3.3,0.8685,0.9490000000000001,0.039,02,Manhattan,0.0,2.415,0.0,0.0,1.0,0.0
02M305,"urban assembly academy of government and law, the",290.0,0.607,0.39,0.003,0.048,0.19,0.863,0.041,0.152,0.814,0.625,6.4,0.524,0.383,0.0,0.621,2.0,0.792,0.563,0.969,72.3,0.401,0.533,3.67,4.33,3.88,4.41,4.32,4.13,92.0,96.0,41.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,0.7,0.892,0.869,0.131,02,Manhattan,0.07,2.715,0.0,0.0,0.0,0.0
02M308,lower manhattan arts academy,316.0,0.649,0.351,0.0,0.06,0.282,0.872,0.063,0.165,0.794,0.615,5.6,0.301,0.373,0.0,0.566,0.9,0.731,0.616,0.954,70.3,0.851,0.276,3.52,3.22,3.39,3.53,2.79,2.91,62.0,75.0,16.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,11.850000000000001,0.8465,0.8859999999999999,0.11000000000000001,02,Manhattan,0.034,2.5300000000000002,0.0,0.0,0.0,0.0
02M316,"urban assembly school of business for young women, the",83.0,1.0,0.0,0.0,0.12,0.193,0.844,0.096,0.145,0.783,0.778,9.4,0.518,0.373,0.0,0.687,18.2,0.889,0.728,0.966,73.4,0.241,0.514,3.09,3.8,3.7,4.08,4.5,4.93,64.0,100.0,26.0,10004.0,0.4,94.5,22.8,2.3,20.4,99.4,232543.0,0.0,4.6,0.867,0.8919999999999999,0.096,02,Manhattan,0.037,2.665,0.0,0.0,0.0,0.0
