,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
151,0.0,43.8,3.4,11.6,0.0,84.5,88077,12.1,01032
152,3.1,39.2,8.5,12.1,5.1,89.9,102248,4.7,01033
153,0.6,37.3,5.8,12.2,4.5,88.1,104583,2.0,01034
154,0.7,60.7,7.2,9.0,5.4,93.1,112450,9.4,01035
155,0.5,36.4,4.0,13.0,1.8,95.7,110320,3.3,01036
156,0.0,40.7,7.6,14.3,5.0,92.6,78047,0.0,01037
157,1.6,53.2,9.5,8.5,6.2,93.4,103125,2.3,01038
158,0.3,58.0,7.4,9.6,4.0,95.3,109167,5.0,01039
159,8.0,22.2,42.7,20.3,5.5,83.5,49007,35.4,01040
160,0.9,32.0,3.3,11.0,2.2,92.9,84333,10.5,01050
161,1.2,48.0,8.4,21.1,8.4,86.3,60875,1.3,01053
162,0.8,63.4,6.7,12.8,7.1,93.4,105833,7.6,01054
163,7.0,25.0,25.6,16.6,16.0,88.4,76395,12.8,01056
164,2.1,27.9,2.9,13.5,2.4,89.5,85614,10.2,01057
165,3.1,70.9,12.3,13.3,9.4,88.1,79604,12.8,01060
166,4.0,53.5,13.2,15.3,7.0,87.8,87409,11.9,01062
167,0.0,100.0,25.8,5.6,19.2,100.0,-666666666,0.0,01063
168,0.0,10.2,0.0,61.2,0.0,55.1,20202,46.4,01066
169,1.6,39.9,3.1,13.6,2.2,94.5,93906,10.8,01068
170,7.0,26.1,8.0,20.0,4.4,89.3,71439,16.9,01069
171,0.7,46.7,4.7,10.3,3.0,85.4,60313,6.1,01070
172,1.3,28.4,6.7,11.9,3.3,81.9,105417,6.8,01071
173,0.0,67.4,8.3,13.6,5.5,91.5,99000,8.3,01072
174,0.2,41.3,5.6,14.8,2.7,95.1,114531,7.6,01073
175,0.0,16.2,0.0,35.6,0.0,83.9,88190,66.1,01074
176,1.2,49.0,9.4,12.3,8.2,87.4,92740,8.4,01075
177,0.8,34.4,6.3,14.1,3.0,88.2,106779,4.2,01077
178,0.0,20.0,5.6,10.8,0.2,100.0,-666666666,28.2,01079
179,5.3,15.0,6.8,16.6,2.2,93.2,89335,8.7,01080
180,1.6,27.6,1.8,12.5,2.0,96.7,88636,12.6,01081
181,2.9,26.5,7.9,13.6,5.2,90.8,66607,22.6,01082
182,4.0,32.1,12.4,11.9,5.0,81.6,87511,35.2,01083
183,0.0,51.2,3.1,26.3,0.0,84.0,86538,8.0,01084
184,4.1,32.8,18.3,14.1,11.1,88.1,78901,17.0,01085
185,0.0,23.1,7.0,17.5,11.6,55.4,51591,13.8,01088
186,4.4,36.5,26.1,14.8,18.1,89.1,67297,20.8,01089
187,0.0,36.2,19.6,9.7,19.6,89.6,69048,3.7,01092
188,0.0,39.0,2.1,17.9,0.0,95.7,130781,0.0,01093
189,0.0,15.8,0.0,31.8,0.0,76.9,87188,53.8,01094
190,1.5,54.1,4.5,9.6,4.0,87.7,126689,7.3,01095
191,0.5,51.2,5.5,11.3,3.2,84.9,106250,4.8,01096
192,0.0,0.0,0.0,0.0,0.0,100.0,-666666666,0.0,01097
193,1.1,47.5,2.4,8.7,3.2,86.5,91181,4.5,01098
194,4.5,41.7,52.4,24.4,19.2,68.6,21288,44.9,01103
195,10.1,14.2,52.2,21.4,9.1,77.8,47413,36.6,01104
196,19.1,7.3,60.9,21.2,8.2,68.8,23948,57.9,01105
197,1.3,63.1,13.1,9.9,13.1,92.5,137597,3.2,01106
198,17.1,13.7,64.3,20.9,11.7,77.6,30825,49.7,01107
199,7.2,20.8,41.9,15.5,14.9,83.5,48465,28.8,01108
200,6.9,18.3,37.0,19.0,10.0,78.2,42928,40.9,01109
201,5.4,32.7,22.3,14.5,10.2,91.3,78354,14.3,01118
202,5.9,19.1,27.6,13.9,5.8,79.0,54326,23.7,01119
203,4.4,36.7,18.5,11.6,8.5,84.6,77050,10.0,01128
204,1.4,28.7,22.0,12.8,6.3,88.5,80352,15.2,01129
205,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,01144
206,7.3,18.0,41.7,23.5,9.1,80.9,51410,35.0,01151
207,2.0,34.0,9.1,17.0,6.8,88.3,67262,19.9,01201
208,2.5,25.1,4.7,15.4,2.4,82.6,54677,16.6,01220
209,11.0,33.1,0.0,7.5,0.0,87.4,78077,4.2,01222
210,1.1,39.3,7.9,10.8,4.4,89.2,79226,9.6,01223
211,8.9,21.8,0.0,16.9,0.0,76.8,-666666666,0.0,01224
212,2.0,31.1,3.8,19.5,3.3,85.6,72485,9.9,01225
213,1.6,40.9,4.3,15.9,3.2,86.2,76198,13.2,01226
214,0.0,51.9,0.0,23.2,0.8,51.8,-666666666,0.0,01229
215,2.1,46.5,6.4,8.6,6.1,85.9,73884,6.6,01230
